condition,trial,believability,behavioural_consistency,memory_coherence,planning_plausibility,response_naturalness,coordination_score,coordination_success,sustainability_score,convergence_speed,collapsed
full_llm_reflection,trial_0,0.6917,0.6747,0.6596,0.553,0.9306,0.99,True,0.992,1,False
full_llm_reflection,trial_1,0.6717,0.6496,0.6593,0.5137,0.9175,0.99,True,0.98,1,False
full_llm_reflection,trial_2,0.6709,0.6349,0.6663,0.5254,0.9119,0.98,True,0.972,2,False
full_llm_reflection,trial_3,0.6673,0.6701,0.6581,0.4724,0.9175,0.98,True,0.993,2,False
full_llm_reflection,trial_4,0.6794,0.6952,0.6545,0.484,0.9306,0.98,True,0.997,2,False
full_llm_reflection,trial_5,0.6708,0.672,0.6461,0.4885,0.9288,0.98,True,0.996,2,False
full_llm_reflection,trial_6,0.6572,0.6235,0.6742,0.4805,0.9081,0.99,True,0.999,1,False
full_llm_reflection,trial_7,0.6693,0.6425,0.6694,0.4891,0.9344,0.98,True,0.977,2,False
full_llm_reflection,trial_8,0.6899,0.6826,0.6431,0.5526,0.9306,0.99,True,0.994,1,False
full_llm_reflection,trial_9,0.6688,0.648,0.6681,0.49,0.925,0.98,True,0.98,2,False
